iter	Logloss
0	0.6761999359
1	0.6511390411
2	0.6283523865
3	0.6069805359
4	0.5862858246
5	0.5665626587
6	0.54729245
7	0.5291065033
8	0.5126381836
9	0.4976956451
10	0.4834281021
11	0.4701728027
12	0.4575314301
13	0.4450233322
14	0.4331145477
15	0.4223048767
16	0.4131752731
17	0.4041095795
18	0.3950509918
19	0.3863129059
20	0.3780015442
21	0.3719553101
22	0.3644319473
23	0.3576962112
24	0.3511445953
25	0.3454519745
26	0.3395773849
27	0.3344349396
28	0.3294613892
29	0.3264696762
30	0.3217603958
31	0.3174266327
32	0.3133723221
33	0.3094013229
34	0.3058660278
35	0.3023583694
36	0.29898414
37	0.2957935287
38	0.2928493088
39	0.2900085358
40	0.2873476578
41	0.2856247803
42	0.2831652328
43	0.2808455429
44	0.2792414932
45	0.2771516968
46	0.2750324539
47	0.2730253769
48	0.2716950424
49	0.2700072632
50	0.2682420746
51	0.2666383408
52	0.2649658035
53	0.2639073082
54	0.2628936531
55	0.2614749397
56	0.2600707779
57	0.2587260704
58	0.2574851517
59	0.2561997955
60	0.2549779816
61	0.2537977989
62	0.2526962608
63	0.2516004402
64	0.2506008705
65	0.2495604271
66	0.248589949
67	0.2476385788
68	0.2467519821
69	0.2458910294
70	0.2450701408
71	0.2442430054
72	0.2434690071
73	0.2427047966
74	0.2421078224
75	0.2414204163
76	0.2409183777
77	0.2403545113
78	0.2396842499
79	0.2391354637
80	0.2384744858
81	0.2378875275
82	0.2373038887
83	0.2367313316
84	0.2361857391
85	0.2356658852
86	0.235135817
87	0.2346027878
88	0.2341027122
89	0.2335982285
90	0.2331668755
91	0.23277826
92	0.2323301186
93	0.2318928764
94	0.2314539886
95	0.2310368362
96	0.2306428322
97	0.2302522087
98	0.2298587624
99	0.2294889214
100	0.2291174286
101	0.2287697342
102	0.2284322113
103	0.2280982704
104	0.2278187538
105	0.227498777
106	0.2272256813
107	0.2269317162
108	0.2266366203
109	0.2264012932
110	0.2261171036
111	0.2258247971
112	0.2255583
113	0.2252886742
114	0.2250314316
115	0.2247850937
116	0.2245586899
117	0.2243083282
118	0.2240749924
119	0.223889521
120	0.2236577538
121	0.2234642403
122	0.2232548393
123	0.2230782257
124	0.2228854088
125	0.2226925545
126	0.2225365356
127	0.2223579834
128	0.2221741051
129	0.2220188721
130	0.2218270638
131	0.2216857773
132	0.2215151947
133	0.2213458977
134	0.2211804153
135	0.2210240944
136	0.220871785
137	0.2207456558
138	0.2205924812
139	0.2204498672
140	0.2202988708
141	0.2201600739
142	0.2200293953
143	0.2198967308
144	0.2197651382
145	0.2196340714
146	0.2195119377
147	0.2193848183
148	0.219270771
149	0.2191399643
150	0.2190330902
151	0.2189201286
152	0.2188121765
153	0.2187002853
154	0.2185978622
155	0.2184982437
156	0.2184017761
157	0.2183040726
158	0.2181975632
159	0.2181201851
160	0.2180426682
161	0.2179537216
162	0.2178653
163	0.2177648529
164	0.2176951202
165	0.2176099586
166	0.2175287735
167	0.2174491928
168	0.2173728371
169	0.2173000359
170	0.2172268089
171	0.2171631332
172	0.217092392
173	0.217021991
174	0.2169495461
175	0.216885331
176	0.2168194954
177	0.2167491135
178	0.216679847
179	0.2166152588
180	0.216552932
181	0.2164951836
182	0.216439447
183	0.2163816299
184	0.2163282471
185	0.2162738464
186	0.2162220802
187	0.2161692757
188	0.2161231621
189	0.2160640953
190	0.2160077187
191	0.2159590866
192	0.2159193321
193	0.2158751236
194	0.2158294586
195	0.2157866844
196	0.2157477058
197	0.2157068619
198	0.2156602776
199	0.2156167007
200	0.2155792709
201	0.2155405952
202	0.2155034019
203	0.2154677147
204	0.2154314255
205	0.2153952835
206	0.2153640541
207	0.2153319633
208	0.2152995132
209	0.215257402
210	0.2152247131
211	0.2151950684
212	0.2151676498
213	0.2151370567
214	0.2151039078
215	0.2150745857
216	0.2150472717
217	0.2150183945
218	0.2149927216
219	0.2149670517
220	0.2149406075
221	0.2149131294
222	0.2148871048
223	0.2148610359
224	0.214837542
225	0.2148136963
226	0.2147904968
227	0.2147696182
228	0.2147472076
229	0.2147269783
230	0.21470849
231	0.2146880569
232	0.2146674751
233	0.2146473732
234	0.2146285202
235	0.214607354
236	0.2145808372
237	0.2145613922
238	0.2145460159
239	0.2145266678
240	0.214510424
241	0.2144928383
242	0.2144754494
243	0.2144604355
244	0.214444413
245	0.2144292213
246	0.214411795
247	0.2143982681
248	0.2143839027
249	0.2143694344
250	0.214349073
251	0.2143331886
252	0.2143180824
253	0.2143051094
254	0.214290612
255	0.2142773369
256	0.2142638206
257	0.2142429932
258	0.2142288895
259	0.2142172234
260	0.2142047501
261	0.2141930405
262	0.2141817253
263	0.2141696838
264	0.2141581886
265	0.2141472534
266	0.2141360329
267	0.2141252937
268	0.2141151299
269	0.2141045052
270	0.2140948509
271	0.214085527
272	0.2140769241
273	0.2140664139
274	0.2140475937
275	0.2140384247
276	0.2140286003
277	0.2140201912
278	0.2140118538
279	0.214003022
280	0.2139948463
281	0.2139874771
282	0.2139746857
283	0.2139684784
284	0.2139612007
285	0.2139531776
286	0.2139449615
287	0.2139373901
288	0.2139307205
289	0.2139245705
290	0.2139107956
291	0.2139010811
292	0.2138930992
293	0.2138865028
294	0.2138803452
295	0.2138741005
296	0.2138659729
297	0.2138605766
298	0.2138555161
299	0.2138478592
300	0.2138406433
301	0.2138338577
302	0.21382836
303	0.2138234604
304	0.2138175575
305	0.2138129219
306	0.2138074738
307	0.2138025749
308	0.2137973007
309	0.2137919174
310	0.2137863083
311	0.2137818756
312	0.2137773994
313	0.213768045
314	0.2137557724
315	0.2137514374
316	0.2137400406
317	0.2137358315
318	0.2137319107
319	0.2137280624
320	0.2137237465
321	0.2137189507
322	0.2137144516
323	0.213709977
324	0.2137068756
325	0.2137023895
326	0.2136975372
327	0.2136920792
328	0.213688147
329	0.2136848045
330	0.213678933
331	0.2136752869
332	0.2136650635
333	0.2136593079
334	0.2136561813
335	0.2136532364
336	0.2136506874
337	0.2136477051
338	0.2136443169
339	0.2136387253
340	0.2136357246
341	0.2136335258
342	0.2136308144
343	0.2136278534
344	0.2136246918
345	0.213621801
346	0.2136194267
347	0.213616758
348	0.2136143066
349	0.2136109863
350	0.2136060081
351	0.2136034233
352	0.2136009674
353	0.2135984856
354	0.2135884346
355	0.213586747
356	0.2135829887
357	0.2135807335
358	0.2135790169
359	0.2135767723
360	0.2135745674
361	0.2135725136
362	0.2135708824
363	0.2135689018
364	0.2135673645
365	0.2135655327
366	0.2135641624
367	0.2135605667
368	0.21355756
369	0.2135553055
370	0.2135539322
371	0.2135509026
372	0.2135488472
373	0.2135471535
374	0.2135453911
375	0.2135413132
376	0.2135397118
377	0.2135381859
378	0.2135370659
379	0.2135280128
380	0.2135264503
381	0.2135249046
382	0.2135237335
383	0.213521196
384	0.2135199226
385	0.2135185379
386	0.2135171913
387	0.2135148026
388	0.2135125824
389	0.2135111603
390	0.2135082077
391	0.2135070648
392	0.213505484
393	0.2135042351
394	0.2135033127
395	0.2135021873
396	0.2135011307
397	0.2134990303
398	0.2134980698
399	0.213496669
400	0.2134953194
401	0.2134937958
402	0.2134928871
403	0.2134898552
404	0.2134892441
405	0.2134880562
406	0.2134857384
407	0.2134850647
408	0.2134838562
409	0.2134818077
410	0.2134809052
411	0.2134801254
412	0.2134786911
413	0.2134771759
414	0.2134764053
415	0.2134736198
416	0.213470134
417	0.2134692421
418	0.2134683708
419	0.2134672272
420	0.2134661308
421	0.213464415
422	0.213461293
423	0.21345877
424	0.2134575226
425	0.2134549988
426	0.2134541756
427	0.213453466
428	0.213452317
429	0.213452327
430	0.2134515366
431	0.2134496765
432	0.2134476624
433	0.2134447693
434	0.2134434242
435	0.2134418343
436	0.2134406151
437	0.2134391388
438	0.2134380974
439	0.2134311722
440	0.2134299103
441	0.2134298813
442	0.2134291916
443	0.2134202347
444	0.2134181786
445	0.2134165367
446	0.2134144882
447	0.2134135307
448	0.2134125793
449	0.2134120018
450	0.2134108757
451	0.2134081909
452	0.2134053383
453	0.2134036415
454	0.2134026443
455	0.2134007065
456	0.2133995308
457	0.213398954
458	0.213397982
459	0.2133972458
460	0.2133954102
461	0.2133941292
462	0.2133928238
463	0.2133905853
464	0.2133898193
465	0.2133887085
466	0.2133879196
467	0.2133863113
468	0.213385463
469	0.2133849236
470	0.2133843513
471	0.2133839371
472	0.2133825096
473	0.2133809952
474	0.2133801399
475	0.2133793159
476	0.2133792961
477	0.2133773766
478	0.213375647
479	0.213375647
480	0.213374807
481	0.2133740005
482	0.2133722046
483	0.2133714569
484	0.21337043
485	0.2133693008
486	0.2133685631
487	0.213367675
488	0.2133661568
489	0.2133652809
490	0.2133642624
491	0.2133623367
492	0.2133618103
493	0.2133608215
494	0.2133602501
495	0.2133602318
496	0.2133538322
497	0.2133528023
498	0.2133523682
499	0.2133513939
500	0.2133502312
501	0.2133483147
502	0.2133476387
503	0.2133468918
504	0.2133468941
505	0.2133460197
506	0.2133460175
507	0.2133445671
508	0.213343042
509	0.2133423676
510	0.2133406891
511	0.2133391647
512	0.2133367943
513	0.213336348
514	0.2133349571
515	0.2133345901
516	0.2133337593
517	0.2133325508
518	0.2133315727
519	0.2133315903
520	0.213330407
521	0.2133297577
522	0.2133282539
523	0.2133276421
524	0.2133218994
525	0.2133210022
526	0.2133198936
527	0.2133188599
528	0.213317659
529	0.2133162476
530	0.213315741
531	0.2133157562
532	0.2133144272
533	0.2133125031
534	0.2133115906
535	0.213310714
536	0.2133047714
537	0.2133047714
538	0.2133035095
539	0.2132986763
