iter	Passed	Remaining
0	5	5958
1	10	5237
2	15	5175
3	20	5064
4	24	4953
5	30	4989
6	36	5222
7	42	5251
8	48	5293
9	53	5315
10	59	5382
11	64	5313
12	70	5315
13	74	5261
14	80	5257
15	85	5243
16	89	5202
17	95	5191
18	100	5183
19	105	5171
20	109	5116
21	114	5068
22	118	5040
23	123	5020
24	128	5019
25	133	5011
26	138	4979
27	143	4971
28	147	4951
29	152	4932
30	157	4918
31	161	4900
32	166	4891
33	171	4865
34	175	4849
35	180	4831
36	185	4816
37	189	4809
38	195	4806
39	199	4795
40	204	4774
41	208	4752
42	212	4735
43	216	4714
44	221	4696
45	225	4683
46	230	4667
47	234	4651
48	238	4637
49	243	4627
50	247	4614
51	252	4604
52	257	4592
53	261	4578
54	265	4561
55	269	4551
56	274	4544
57	278	4530
58	283	4516
59	287	4508
60	292	4497
61	296	4492
62	301	4480
63	306	4478
64	310	4471
65	315	4458
66	319	4444
67	323	4430
68	327	4415
69	331	4402
70	335	4393
71	340	4382
72	344	4368
73	348	4361
74	352	4351
75	356	4337
76	361	4328
77	365	4318
78	369	4307
79	373	4296
80	377	4286
81	382	4279
82	386	4274
83	391	4266
84	395	4253
85	399	4247
86	403	4236
87	408	4232
88	413	4229
89	417	4216
90	421	4208
91	425	4200
92	430	4193
93	434	4187
94	438	4180
95	442	4171
96	447	4164
97	451	4159
98	456	4153
99	460	4143
100	464	4132
101	469	4129
102	473	4124
103	477	4113
104	481	4102
105	485	4096
106	490	4090
107	494	4082
108	498	4076
109	503	4073
110	507	4067
111	512	4062
112	516	4054
113	520	4048
114	525	4042
115	529	4035
116	533	4029
117	538	4021
118	542	4013
119	546	4007
120	550	4001
121	554	3993
122	559	3985
123	563	3982
124	568	3976
125	572	3968
126	576	3963
127	580	3955
128	584	3949
129	588	3940
130	593	3934
131	597	3927
132	601	3921
133	605	3913
134	610	3909
135	614	3905
136	619	3899
137	623	3896
138	628	3891
139	632	3887
140	637	3881
141	641	3876
142	646	3871
143	650	3867
144	655	3862
145	660	3861
146	664	3858
147	669	3856
148	674	3851
149	678	3845
150	683	3842
151	688	3838
152	692	3833
153	697	3828
154	701	3823
155	705	3817
156	710	3817
157	715	3812
158	719	3806
159	724	3802
160	729	3799
161	733	3794
162	737	3788
163	742	3785
164	747	3782
165	751	3777
166	756	3775
167	761	3771
168	765	3765
169	770	3760
170	774	3755
171	779	3753
