iter	Logloss
0	0.6905129913
1	0.6882465942
2	0.6857965851
3	0.6835414307
4	0.6813794037
5	0.6791823547
6	0.6773065674
7	0.6753204102
8	0.6734994232
9	0.6717592102
10	0.6702924377
11	0.6688137848
12	0.6673533264
13	0.665976358
14	0.6645924835
15	0.6633910339
16	0.6622698029
17	0.6611683319
18	0.6601114929
19	0.6590084167
20	0.658007843
21	0.6570175903
22	0.6562059265
23	0.6553446686
24	0.654566452
25	0.6537729645
26	0.6529966919
27	0.6521513092
28	0.6514674103
29	0.6507309814
30	0.6500500183
31	0.6494661499
32	0.6488784027
33	0.648322821
34	0.647821875
35	0.647398999
36	0.646956897
37	0.6465343597
38	0.6460899841
39	0.6456890656
40	0.6452909515
41	0.6449095062
42	0.6445506653
43	0.6442040741
44	0.6438535065
45	0.6434790924
46	0.6432018463
47	0.6429145355
48	0.6426289337
49	0.6423650085
50	0.6420896362
51	0.6418495758
52	0.641618219
53	0.6413896576
54	0.6411638092
55	0.6409694641
56	0.6406982574
57	0.6404350494
58	0.6402526367
59	0.6400528076
60	0.6398903473
61	0.6397266998
62	0.6395473206
63	0.6393681763
64	0.6392250549
65	0.6391051971
66	0.6389512329
67	0.6388127502
68	0.6385991974
69	0.6384372681
70	0.638267337
71	0.6381080719
72	0.6379883575
73	0.6378500427
74	0.6377297424
75	0.6376211914
76	0.6375185425
77	0.6374079132
78	0.6373150574
79	0.6372177429
80	0.6371140381
81	0.6370329987
82	0.6369364166
83	0.6368625488
84	0.636785025
85	0.6367025909
86	0.6366195099
87	0.6365510193
88	0.6365101746
89	0.6364303436
90	0.6363415894
91	0.6362763855
92	0.6361957184
93	0.6361584259
94	0.6360945129
95	0.6360260864
96	0.6359385773
97	0.6358673309
98	0.6358072052
99	0.6357413391
100	0.6356814484
101	0.6356220337
102	0.6355835052
103	0.6355284027
104	0.6354592865
105	0.6354008698
106	0.6353335632
107	0.6352649963
108	0.6351987793
109	0.6351382843
110	0.6350833649
111	0.6350282104
112	0.6349795959
113	0.6349295746
114	0.6348834198
115	0.6348267517
116	0.6347642365
117	0.6347078766
118	0.6346569183
119	0.6346078613
120	0.6346001373
121	0.6345552734
122	0.6345144867
123	0.6344764435
124	0.6344271973
125	0.6343727753
126	0.6343325684
127	0.634292804
128	0.6342537506
129	0.6341968933
130	0.6341644714
131	0.6341177155
132	0.6340754517
133	0.6339937439
134	0.6339329773
135	0.6338849365
136	0.6338526306
137	0.6337908844
138	0.6337481964
139	0.6337050201
140	0.6336574707
141	0.6336228546
142	0.633584845
143	0.6335422211
144	0.6335010132
145	0.6334253723
146	0.6333794495
147	0.6333420502
148	0.6333076599
149	0.6332784363
150	0.6332273132
151	0.6331865875
152	0.63314776
153	0.6331180267
154	0.633073996
155	0.6330420715
156	0.6330024139
157	0.6329595276
158	0.6329167877
159	0.6328892273
160	0.6328613983
161	0.6328182678
162	0.6327817291
163	0.6327476105
164	0.6327112
165	0.6326898865
166	0.6326592621
167	0.6326217407
168	0.6325898987
169	0.6325565094
170	0.6325153625
171	0.632471875
172	0.6324367676
173	0.6324145996
174	0.632380542
175	0.6323439484
176	0.632295166
177	0.6322635468
178	0.6322166718
179	0.6321873474
180	0.6321509979
181	0.6321051117
182	0.6320775726
183	0.6320334869
184	0.6319874054
185	0.6319400238
186	0.6319096222
187	0.6318635498
188	0.6318326843
189	0.6317923035
190	0.6317575928
191	0.6317312256
192	0.6316967529
193	0.631661908
194	0.6316360901
195	0.6315984772
196	0.6315742157
197	0.631528949
198	0.6314832855
199	0.6314426361
200	0.6314075806
201	0.6313522247
202	0.6313169708
203	0.6313011963
204	0.63126008
205	0.6312260681
206	0.6311962158
207	0.631171228
208	0.6311423004
209	0.6311045593
210	0.6310824829
211	0.6310362762
212	0.6309978638
213	0.6309617249
214	0.6309319214
215	0.6308837891
216	0.6308698761
217	0.6308359802
218	0.6308030396
219	0.6307670868
220	0.6307156464
221	0.6307135559
222	0.6306712708
223	0.6306242615
224	0.6305746765
225	0.6305481598
226	0.6305216156
227	0.6304936523
228	0.6304808838
229	0.6304431061
230	0.6304046875
231	0.6303684631
232	0.6303398895
233	0.6303128723
234	0.6302598816
235	0.6302370911
236	0.6302057709
237	0.6301780853
238	0.6301558258
239	0.6301255035
240	0.6300925995
241	0.630067749
242	0.6300198578
243	0.6299985626
244	0.6299627045
245	0.6299136475
246	0.6298760254
247	0.6298450287
248	0.6298176758
249	0.6297949005
250	0.6297543793
251	0.6297118927
252	0.6296925385
253	0.6296609436
254	0.6296305511
255	0.6295996704
256	0.6295661072
257	0.6295361115
258	0.6294869171
259	0.6294385315
260	0.6293972107
261	0.6293756409
262	0.6293595917
263	0.6293308807
264	0.6293202911
265	0.6292920959
266	0.6292498962
267	0.6292310455
268	0.6292029968
269	0.6291725067
270	0.6291446533
271	0.6291225983
272	0.6290953735
273	0.6290549561
274	0.6290126099
275	0.628984549
276	0.6289529388
277	0.6289108032
278	0.6288774841
279	0.6288340515
280	0.6287801788
281	0.6287392914
282	0.6287053711
283	0.6286760254
284	0.6286488586
285	0.6286108887
286	0.6285726624
287	0.6285456909
288	0.6285124725
289	0.6284865387
290	0.6284751678
291	0.6284405853
292	0.6284149353
293	0.6283790222
294	0.6283485565
295	0.6283272766
296	0.6283038452
297	0.6282717834
298	0.6282297638
299	0.6281794189
300	0.6281501007
301	0.6281209778
302	0.6280789062
303	0.6280448456
304	0.6280124237
305	0.6279792694
306	0.6279513397
307	0.627912558
308	0.6278663635
309	0.6278379028
310	0.6277918976
311	0.6277525238
312	0.6277249908
313	0.6277086884
314	0.627672052
315	0.6276549011
316	0.6276222412
317	0.62758526
318	0.6275581818
319	0.6275191498
320	0.6274832367
321	0.6274690918
322	0.6274539093
323	0.6274525696
324	0.6274214905
325	0.6273871399
326	0.6273576965
327	0.6273333344
328	0.6273013245
329	0.6272716034
330	0.6272305511
331	0.6271834015
332	0.6271422089
333	0.6271102264
334	0.6270669678
335	0.6270471985
336	0.6270105286
337	0.6269854004
338	0.6269517883
339	0.626931485
340	0.6268990204
341	0.6268670013
342	0.6268286835
343	0.6268039856
344	0.6267818451
345	0.6267507141
346	0.6267149811
347	0.6266914001
348	0.6266541473
349	0.626611142
350	0.6265904083
351	0.6265667206
352	0.6265452332
353	0.6265251923
354	0.6264956421
355	0.6264613739
356	0.6264225098
357	0.6263772552
358	0.6263312714
359	0.6262984131
360	0.6262656189
361	0.6262459106
362	0.6262322418
363	0.6262016846
364	0.626173288
365	0.626136554
366	0.6261197662
367	0.6260953125
368	0.6260690613
369	0.6260274353
370	0.6260094116
371	0.6259624298
372	0.6259273438
373	0.6258917603
374	0.6258428192
375	0.625817749
376	0.6257830139
377	0.625759848
378	0.6257331329
379	0.6256848358
380	0.6256431946
381	0.6255973541
382	0.6255725616
383	0.6255413483
384	0.6255155151
385	0.6254752777
386	0.6254414276
387	0.6254177917
388	0.6253922607
389	0.625361853
390	0.62533974
391	0.6253025696
392	0.625263562
393	0.6252384277
394	0.6252032135
395	0.6251705902
396	0.6251378296
397	0.625114566
398	0.6250894348
399	0.6250741516
400	0.6250520599
401	0.6250378815
402	0.6250015656
403	0.6249471588
404	0.6249100189
405	0.6248921082
406	0.6248577637
407	0.6248565002
408	0.6248239258
409	0.6247861115
410	0.6247577209
411	0.6247175476
412	0.6246900879
413	0.6246619781
414	0.6246223206
415	0.6246027954
416	0.6245578796
417	0.6245318634
418	0.624494632
419	0.6244660278
420	0.6244224731
421	0.6243900085
422	0.6243632904
423	0.6243337616
424	0.6242835815
425	0.6242705444
426	0.6242528259
427	0.6242104004
428	0.6241879608
429	0.6241410767
430	0.624127179
431	0.6240838776
432	0.6240598694
433	0.6240195129
434	0.6239872162
435	0.623974765
436	0.6239342133
437	0.6238932098
438	0.6238486664
439	0.6238169708
440	0.6237821075
441	0.6237542175
442	0.6237428009
443	0.6236948242
444	0.6236578705
445	0.6236334991
446	0.6236078339
447	0.6235780334
448	0.6235644104
449	0.6235281799
450	0.6234833435
451	0.6234518158
452	0.6234082306
453	0.6233786011
454	0.6233585449
455	0.6233091217
456	0.6232805176
457	0.6232468811
458	0.6231993164
459	0.6231614502
460	0.623121521
461	0.6230927429
462	0.6230591705
463	0.6230305511
464	0.6229899078
465	0.6229717102
466	0.6229475098
467	0.6229208923
468	0.6228759918
469	0.622833194
470	0.6228078552
471	0.6227755188
472	0.6227503754
473	0.6227240204
474	0.6226972412
475	0.6226675629
476	0.62265242
477	0.6226227966
478	0.6225847656
479	0.6225712158
480	0.6225429657
481	0.6225274628
482	0.6224940857
483	0.6224531403
484	0.6224088104
485	0.6223808838
486	0.6223393646
487	0.6223021698
488	0.6222790649
489	0.6222468414
490	0.6222230927
491	0.6222010712
492	0.6221679016
493	0.6221374451
494	0.6221051727
495	0.6220617371
496	0.622024646
497	0.6219817627
498	0.6219400848
499	0.6219086578
500	0.6218581146
501	0.6218374542
502	0.621795224
503	0.6217506531
504	0.6217059296
505	0.6216684082
506	0.6216459839
507	0.6216150269
508	0.621584494
509	0.6215662903
510	0.6215512878
511	0.6215291351
512	0.6214916626
513	0.6214696838
514	0.6214355133
515	0.6213946625
516	0.6213618439
517	0.6213174072
518	0.6212746094
519	0.6212360474
520	0.621201889
521	0.6211682892
522	0.6211534027
523	0.6211132935
524	0.6210977173
525	0.6210568848
526	0.6210294342
527	0.621003186
528	0.6209570282
529	0.6209265808
530	0.6208968933
531	0.6208533539
532	0.6208045197
533	0.6207740845
534	0.6207523437
535	0.620723941
536	0.6206849609
537	0.6206424011
538	0.6206171967
539	0.620577243
540	0.6205294769
541	0.6205089996
542	0.6204703827
543	0.6204276276
544	0.6203859131
545	0.6203659302
546	0.6203412842
547	0.6203189026
548	0.6202798279
549	0.6202318726
550	0.6202036102
551	0.6201734985
552	0.6201374207
553	0.6201215973
554	0.6200868469
555	0.6200623108
556	0.620036734
557	0.6199926819
558	0.6199634796
559	0.6199355377
560	0.6199122131
561	0.6198937836
562	0.6198583832
563	0.6198389679
564	0.6198092773
565	0.6197749878
566	0.6197365753
567	0.6196895905
568	0.6196720886
569	0.619644101
570	0.6196052856
571	0.6195964844
572	0.6195678162
573	0.6195367401
574	0.6195118683
575	0.619496405
576	0.619451886
577	0.6194135376
578	0.6193977142
579	0.6193579742
580	0.6193151794
581	0.6192770569
582	0.61926185
583	0.6192330872
584	0.6191981079
585	0.6191791748
586	0.6191594879
587	0.6191162384
588	0.6191036407
589	0.6190657043
590	0.6190297363
591	0.6189965607
592	0.6189818939
593	0.6189454468
594	0.618931604
595	0.6188974976
596	0.6188694092
597	0.6188372772
598	0.6188004578
599	0.6187681519
600	0.6187513458
601	0.6187002563
602	0.6186750854
603	0.6186485138
604	0.618609787
605	0.6185962555
606	0.6185615356
607	0.6185168976
608	0.6185029022
609	0.618479126
610	0.6184512207
611	0.6184062988
612	0.6183625366
613	0.6183420135
614	0.618305603
615	0.6182802429
616	0.6182520752
617	0.6182224701
618	0.6182028137
619	0.618161676
620	0.6181388794
621	0.6180979218
622	0.6180684265
623	0.6180460052
624	0.6180144653
625	0.6179910431
626	0.6179502991
627	0.6179184326
628	0.6178883911
629	0.6178503723
630	0.6178182404
631	0.6177901306
632	0.6177649048
633	0.6177515289
634	0.6177317108
635	0.617716687
636	0.6176680573
637	0.6176309326
638	0.6175930603
639	0.6175671234
640	0.6175491394
641	0.6175166992
642	0.6174802185
643	0.6174405334
644	0.6173893036
645	0.6173558929
646	0.6173099915
647	0.6172738098
648	0.6172350067
649	0.617202533
650	0.617175174
651	0.6171278046
652	0.6171197021
653	0.617084549
654	0.6170519836
655	0.6170272369
656	0.6169857422
657	0.6169584595
658	0.6169382446
659	0.6168996033
660	0.6168577484
661	0.6168224701
662	0.6167893127
663	0.6167501282
664	0.6167244263
665	0.6166816345
666	0.6166528625
667	0.6166176819
668	0.6165902313
669	0.6165703888
670	0.6165378845
671	0.616520932
672	0.6164959015
673	0.6164678314
674	0.616460376
675	0.6164298401
676	0.6163885895
677	0.616362793
678	0.616321109
679	0.6162756653
680	0.6162327637
681	0.6161934174
682	0.6161692627
683	0.6161227325
684	0.6160893951
685	0.6160604309
686	0.6160266418
687	0.6159875488
688	0.6159561584
689	0.6159243073
690	0.6158878876
691	0.6158506165
692	0.6158130798
693	0.6157721741
694	0.6157420532
695	0.6156997772
696	0.6156658142
697	0.6156451721
698	0.6156133209
699	0.6156003113
700	0.6155865753
701	0.6155644196
702	0.6155265137
703	0.61548927
704	0.6154759186
705	0.6154426117
706	0.615410321
707	0.6153908691
708	0.6153616425
709	0.6153238007
710	0.6152923859
711	0.6152575623
712	0.6152170258
713	0.6151764221
714	0.6151504486
715	0.6151227509
716	0.6150888824
717	0.6150671844
718	0.6150273621
719	0.6150177216
720	0.6150030029
721	0.6149805206
722	0.614952713
723	0.614924588
724	0.6149041748
725	0.6148719086
726	0.6148540649
727	0.6148131256
728	0.6147786285
729	0.614750473
730	0.6147117157
731	0.6146709991
732	0.6146480499
733	0.6146203796
734	0.6145968384
735	0.6145600433
736	0.6145180145
737	0.6144805878
738	0.6144382782
739	0.6144103821
740	0.6143784454
741	0.6143624451
742	0.6143267151
743	0.6142802887
744	0.6142529266
745	0.6142213379
746	0.614208316
747	0.6141828888
748	0.614148587
749	0.6141065918
750	0.6140851715
751	0.6140498016
752	0.6140177429
753	0.6139935181
754	0.6139692017
755	0.6139377045
756	0.6139134094
757	0.6139052002
758	0.6138777374
759	0.6138427521
760	0.6138013123
761	0.6137597565
762	0.6137178711
763	0.613687558
764	0.6136515228
765	0.6136298004
766	0.6136084259
767	0.6135842346
768	0.6135525818
769	0.6135289276
770	0.6135054108
771	0.613469754
772	0.6134600708
773	0.6134306427
774	0.6134019806
775	0.6133874939
776	0.6133527802
777	0.6133185272
778	0.6132932526
779	0.61326698
780	0.6132429047
781	0.6132343292
782	0.6132131378
783	0.613188269
784	0.6131524078
785	0.6131181427
786	0.6130960175
787	0.6130622986
788	0.6130227417
789	0.6129826111
790	0.612960553
791	0.6129496002
792	0.6129135712
793	0.6128773499
794	0.6128523285
795	0.6128393188
796	0.6128072449
797	0.6127751434
798	0.6127327057
799	0.6127028076
800	0.6126675293
801	0.6126359863
802	0.6125967224
803	0.6125633789
804	0.612548584
805	0.6125166779
806	0.6124997833
807	0.6124586884
808	0.6124175659
809	0.6123932861
810	0.6123687897
811	0.6123301361
812	0.612303595
813	0.612281076
814	0.612248465
815	0.6122271027
816	0.6122167206
817	0.6121837708
818	0.6121429199
819	0.6121153442
820	0.6120777313
821	0.6120355072
822	0.6120028534
823	0.6119830383
824	0.6119538452
825	0.6119156097
826	0.6118948761
827	0.6118675232
828	0.6118325531
829	0.6117988922
830	0.6117757446
831	0.611739502
832	0.6117181152
833	0.6116868591
834	0.611664093
835	0.6116370056
836	0.6116155029
837	0.6115910431
838	0.6115534668
839	0.611529776
840	0.6114964539
841	0.6114603363
842	0.6114297882
843	0.6114054474
844	0.6113871368
845	0.6113589539
846	0.6113150391
847	0.6112925354
848	0.6112526093
849	0.611229541
850	0.6111918518
851	0.6111684235
852	0.6111454529
853	0.6111166595
854	0.6110860809
855	0.6110522552
856	0.6110136627
857	0.6110040253
858	0.6109856812
859	0.6109477997
860	0.6109064148
861	0.6108645203
862	0.6108518005
863	0.6108394409
864	0.6108058624
865	0.6107916534
866	0.6107608582
867	0.6107508667
868	0.610706604
869	0.6106860931
870	0.6106527313
871	0.6106081177
872	0.6105891113
873	0.6105679321
874	0.6105259308
875	0.6104878723
876	0.6104485596
877	0.6104229919
878	0.6104016815
879	0.6103834198
880	0.6103476227
881	0.6103184814
882	0.6102958862
883	0.6102795349
884	0.6102565948
885	0.6102173706
886	0.6101806427
887	0.6101451172
888	0.6101196899
889	0.6100904327
890	0.6100704376
891	0.6100351563
892	0.6100047028
893	0.6099838623
894	0.6099530334
895	0.6099393188
896	0.6099000641
897	0.6098710297
898	0.6098426636
899	0.6098209229
900	0.6098097595
901	0.6097896881
902	0.609780304
903	0.6097644592
904	0.6097364929
905	0.6097110992
906	0.6096992981
907	0.6096777161
908	0.6096400452
909	0.6096052429
910	0.6095703369
911	0.6095631378
912	0.6095304108
913	0.6094903259
914	0.6094704956
915	0.6094493713
916	0.6094091888
917	0.6093785522
918	0.6093595734
919	0.6093234711
920	0.6093057281
921	0.6092665253
922	0.609238382
923	0.6091987427
924	0.6091736755
925	0.6091529907
926	0.6091095032
927	0.609081839
928	0.6090651154
929	0.6090423157
930	0.6090245148
931	0.6089931274
932	0.6089793304
933	0.6089479279
934	0.6089131226
935	0.6088977081
936	0.6088729492
937	0.6088457886
938	0.6088210205
939	0.6087928375
940	0.6087709961
941	0.6087499603
942	0.6087280273
943	0.6087203857
944	0.6086897797
945	0.6086614319
946	0.6086250122
947	0.608589389
948	0.6085650269
949	0.608548288
950	0.6085142975
951	0.6085003937
952	0.6084743958
953	0.6084388031
954	0.6084020172
955	0.6083839203
956	0.6083654663
957	0.6083332245
958	0.6083134674
959	0.608281366
960	0.6082712036
961	0.6082482483
962	0.6082327148
963	0.6081997528
964	0.6081700562
965	0.6081487671
966	0.6081220856
967	0.6081017487
968	0.6080864349
969	0.6080643951
970	0.6080267303
971	0.6079869568
972	0.6079516235
973	0.6079223114
974	0.6078972809
975	0.6078618195
976	0.6078426392
977	0.6078182343
978	0.6078066345
979	0.6077747192
980	0.6077513245
981	0.6077288727
982	0.6076869293
983	0.6076554932
984	0.6076208344
985	0.6075953461
986	0.6075532379
987	0.6075246094
988	0.6074996094
989	0.6074667755
990	0.6074356354
991	0.6074040802
992	0.6073675476
993	0.6073363892
994	0.6073160828
995	0.6072922638
996	0.6072650635
997	0.6072400604
998	0.6072166138
999	0.6071771393
