iter	Passed	Remaining
0	8	8026
1	12	6469
2	19	6448
3	25	6468
4	32	6407
5	38	6345
6	45	6398
7	51	6409
8	57	6349
9	64	6341
10	70	6320
11	76	6291
12	82	6272
13	89	6297
14	95	6303
15	103	6376
16	111	6421
17	117	6389
18	123	6367
19	129	6338
20	135	6317
21	141	6301
22	148	6304
23	154	6290
24	161	6288
25	167	6285
26	174	6275
27	180	6270
28	187	6271
29	194	6274
30	200	6267
31	207	6268
32	213	6267
33	220	6262
34	226	6244
35	232	6223
36	238	6206
37	245	6205
38	251	6193
39	257	6188
40	264	6188
41	271	6186
42	277	6180
43	284	6174
44	291	6175
45	297	6165
46	304	6166
47	310	6161
48	317	6152
49	323	6154
50	329	6138
51	336	6132
52	343	6129
53	349	6125
54	356	6117
55	362	6106
56	368	6097
57	374	6085
58	381	6083
59	387	6077
60	394	6071
61	401	6067
62	408	6071
63	415	6069
64	421	6066
65	428	6065
66	435	6061
67	442	6064
68	448	6050
69	454	6042
70	461	6034
71	467	6025
72	472	6006
73	479	5998
74	485	5992
75	492	5991
76	499	5986
77	506	5990
78	513	5985
79	519	5977
80	526	5971
81	532	5963
82	539	5957
83	546	5958
84	553	5956
85	560	5955
86	567	5951
87	573	5945
88	578	5918
89	584	5910
90	590	5898
91	597	5894
92	604	5898
93	609	5879
94	617	5880
95	623	5875
96	630	5866
97	636	5862
98	643	5859
99	650	5852
100	657	5848
101	663	5843
102	670	5838
103	677	5833
104	683	5827
105	690	5826
106	698	5826
107	705	5824
108	711	5816
109	719	5818
110	725	5811
111	732	5806
112	739	5801
113	746	5799
114	753	5796
115	762	5807
116	768	5803
117	775	5798
118	782	5791
119	788	5784
120	793	5761
121	799	5754
122	806	5750
123	813	5744
124	820	5741
125	827	5737
126	834	5734
127	840	5727
128	847	5721
129	854	5717
130	860	5711
131	868	5708
132	874	5701
133	880	5691
134	887	5687
135	894	5681
136	901	5678
137	908	5673
138	915	5667
139	922	5664
140	929	5662
141	935	5654
142	942	5648
143	949	5641
144	955	5631
145	961	5623
146	967	5615
147	974	5612
148	981	5606
149	988	5599
150	994	5592
151	1001	5589
152	1008	5581
153	1014	5575
154	1021	5567
155	1027	5560
156	1034	5555
157	1041	5548
158	1047	5541
159	1054	5535
160	1060	5527
161	1066	5519
162	1073	5513
163	1080	5505
164	1086	5499
165	1093	5491
166	1100	5486
167	1106	5482
168	1113	5474
169	1119	5467
170	1126	5461
171	1132	5450
172	1139	5446
173	1145	5439
174	1152	5432
175	1159	5427
176	1165	5420
177	1172	5414
178	1179	5408
179	1185	5401
180	1191	5392
181	1198	5387
182	1205	5380
183	1211	5374
184	1219	5370
185	1225	5365
186	1232	5360
187	1239	5352
188	1245	5346
189	1252	5340
190	1259	5333
191	1265	5327
192	1272	5322
193	1279	5316
194	1286	5310
195	1293	5303
196	1300	5299
197	1307	5294
198	1313	5288
199	1320	5281
200	1326	5274
201	1332	5265
202	1339	5260
203	1344	5247
204	1351	5240
205	1358	5234
206	1364	5225
207	1370	5219
208	1377	5212
209	1384	5206
210	1390	5201
211	1397	5195
212	1404	5187
213	1411	5182
214	1417	5176
215	1424	5169
216	1430	5161
217	1436	5153
218	1443	5147
219	1450	5141
220	1455	5131
221	1459	5114
222	1466	5111
223	1474	5107
224	1481	5102
225	1487	5093
226	1494	5089
227	1501	5082
228	1507	5075
229	1514	5070
230	1521	5064
231	1527	5057
232	1534	5051
233	1541	5044
234	1548	5039
235	1554	5033
236	1561	5026
237	1572	5034
238	1579	5028
239	1585	5021
240	1592	5016
241	1599	5009
242	1606	5005
243	1618	5015
244	1625	5008
245	1632	5003
246	1638	4996
247	1645	4991
248	1652	4983
249	1658	4976
250	1664	4967
251	1671	4962
252	1678	4956
253	1685	4949
254	1692	4943
255	1698	4936
256	1705	4930
257	1711	4922
258	1718	4917
259	1725	4910
260	1732	4905
261	1738	4896
262	1744	4889
263	1751	4883
