iter	MultiClass
0	0.8371827765
1	0.6832641522
2	0.5764118887
3	0.5003186232
4	0.4380675357
5	0.3948429146
6	0.3604432289
7	0.3320108936
8	0.3098097562
9	0.2905814556
10	0.2759467671
11	0.2601252969
12	0.249018677
13	0.2367566295
14	0.2272967227
15	0.2203177708
16	0.2148819271
17	0.2084585774
18	0.2037353657
19	0.1973565433
20	0.1935664203
21	0.1906407628
22	0.1875587998
23	0.1841899591
24	0.1816887765
25	0.1793736203
26	0.1771827438
27	0.1744702573
28	0.1725481278
29	0.1704564122
30	0.169001029
31	0.1680201093
32	0.1665565848
33	0.165514683
34	0.1646327366
35	0.1635380538
36	0.1624578489
37	0.1615987396
38	0.1609171117
39	0.1602498951
40	0.1593231074
41	0.1587410827
42	0.1577821551
43	0.157370469
44	0.1568666363
45	0.1566439978
46	0.1563550121
47	0.1559182319
48	0.1554280056
49	0.1550733248
50	0.154847447
51	0.1546399528
52	0.1543442577
53	0.1540172555
54	0.1534811306
55	0.1530609608
56	0.1527435901
57	0.1525678716
58	0.1524407311
59	0.1522227229
60	0.1520876074
61	0.1517729928
62	0.1515171779
63	0.151311951
64	0.1510664502
65	0.1507818907
66	0.1506924415
67	0.1505154606
68	0.1504182113
69	0.1503087882
70	0.1502280603
71	0.1500453617
72	0.1498920307
73	0.1498044982
74	0.1496867498
75	0.1496001894
76	0.1495431998
77	0.1494389463
78	0.1493696593
79	0.1492613622
80	0.1491680628
81	0.1490909053
82	0.1490235726
83	0.1489891167
84	0.1489266934
85	0.1488514235
86	0.1487669183
87	0.1486781145
88	0.1486150044
89	0.1485375377
90	0.148496066
91	0.1484373948
92	0.1483293256
93	0.1482678738
94	0.1482039213
95	0.1481211129
96	0.1480799089
97	0.1479683596
98	0.1478863067
99	0.1478174951
100	0.147762101
101	0.1477358673
102	0.1476745147
103	0.1476251436
104	0.1475744214
105	0.1475445199
106	0.1474974536
107	0.1474545408
108	0.1474150883
109	0.147330003
110	0.1472991199
111	0.1472745464
112	0.1472356261
113	0.1471744655
114	0.147135822
115	0.1470927195
116	0.1470346759
117	0.1470095235
118	0.1469633382
119	0.146878574
120	0.1468488898
121	0.1467867635
122	0.1467585075
123	0.1467420464
124	0.1466970156
125	0.1466776637
126	0.1466594516
127	0.1466256955
128	0.1465731864
129	0.1465473319
130	0.1464918806
131	0.1464464736
132	0.1464136239
133	0.1463843736
134	0.1463625026
135	0.1463396395
136	0.1463103634
137	0.1462861206
138	0.1462632253
139	0.1462543689
140	0.1461900086
141	0.1461413969
142	0.1461133303
143	0.1460715724
144	0.1460473743
145	0.1460324779
146	0.1459939927
147	0.1459549259
148	0.1459351602
149	0.1459093778
150	0.1458944374
151	0.1458584858
152	0.1458476913
153	0.1458333154
154	0.1458022193
155	0.1457758518
156	0.1457385684
157	0.1457035544
158	0.1456927303
159	0.1456706686
160	0.1456576483
161	0.1456318168
162	0.1456082271
163	0.1455840805
164	0.1455571811
165	0.1455127304
166	0.1454978053
167	0.1454740298
168	0.1454477056
169	0.1454010885
170	0.1453901286
171	0.145369588
172	0.1453301741
173	0.1453207907
174	0.145298014
175	0.1452828599
176	0.1452616972
177	0.1452406647
178	0.1452288222
179	0.1452007303
180	0.1451876956
181	0.1451654469
182	0.1451367316
183	0.1451136625
184	0.1450750243
185	0.1450501999
186	0.1450286085
187	0.1449921191
188	0.1449742774
189	0.1449561026
190	0.1449411438
191	0.1449308329
192	0.1449212742
193	0.1449045909
194	0.1448717448
195	0.1448541622
196	0.1448372752
197	0.1448277244
198	0.1448155285
199	0.14476776
200	0.1447488652
201	0.1447234981
202	0.1447138851
203	0.1447030147
204	0.1446859333
205	0.144675912
206	0.1446658266
207	0.1446440181
208	0.1446173743
209	0.1446129248
210	0.1445943407
211	0.1445726237
212	0.1445665547
213	0.1445582693
214	0.1445449608
215	0.1445373796
216	0.1445215712
217	0.1445142021
218	0.1445086866
219	0.1444890104
220	0.1444713616
221	0.1444550122
222	0.1444356129
223	0.1444210753
224	0.1444099687
225	0.1444000038
226	0.144389233
227	0.1443843656
228	0.1443689631
229	0.1443391421
230	0.1443178224
231	0.1443126841
232	0.1443057523
233	0.1442840119
234	0.144271896
235	0.1442591313
236	0.144247119
237	0.1442346936
238	0.1442300384
239	0.1442129603
240	0.14420145
241	0.1441890819
242	0.1441756717
243	0.1441597743
244	0.1441479672
245	0.1441339396
246	0.1441274425
247	0.1441171431
248	0.1441041933
249	0.144094556
250	0.1440812081
251	0.1440776639
252	0.1440721714
253	0.1440616007
254	0.1440524028
255	0.1440374258
256	0.144019935
257	0.1440105946
258	0.1439900041
259	0.1439828909
260	0.1439710383
261	0.1439500973
262	0.1439359295
263	0.1439205207
264	0.1439122197
265	0.1439076779
266	0.1439032902
267	0.1438936043
268	0.1438872171
269	0.1438676644
270	0.1438661091
271	0.143858929
272	0.1438520875
273	0.1438341555
274	0.1438213287
275	0.1438108323
276	0.1438062525
277	0.14380005
278	0.1437936139
279	0.1437777509
280	0.1437733873
281	0.1437654453
282	0.1437575494
283	0.1437448824
284	0.1437340645
285	0.1437307762
286	0.1437181458
287	0.1437062804
288	0.1436920636
289	0.1436831369
290	0.1436722617
291	0.1436610001
292	0.1436473221
293	0.1436355066
294	0.1436251609
295	0.1436118956
296	0.1436051404
297	0.143603374
298	0.143591123
299	0.1435773961
300	0.1435674762
301	0.143556676
302	0.1435500715
303	0.1435392458
304	0.1435295244
305	0.1435146354
306	0.1435039988
307	0.1434901137
308	0.1434804444
309	0.143474691
310	0.1434565296
311	0.1434448887
312	0.1434342403
313	0.1434269861
314	0.1434162634
315	0.1434060295
316	0.1434008528
317	0.1433877556
318	0.1433782067
319	0.143371475
320	0.1433538905
321	0.1433462191
322	0.1433348464
323	0.1433263237
324	0.1433214185
325	0.1433095719
326	0.1432955502
327	0.1432897471
328	0.1432839593
329	0.1432756859
330	0.1432544346
331	0.1432489054
332	0.1432311772
333	0.1432217219
334	0.1432188455
335	0.1432086165
336	0.1431983284
337	0.1431932914
338	0.1431892599
