iter	Passed	Remaining
0	18	9447
1	23	5920
2	28	4695
3	33	4124
4	37	3710
5	41	3420
6	45	3220
7	50	3100
8	54	2952
9	58	2866
10	62	2785
11	66	2713
12	70	2646
13	74	2601
14	79	2558
15	83	2523
16	87	2497
17	92	2467
18	96	2434
19	100	2415
20	104	2392
21	109	2369
22	113	2349
23	117	2332
24	121	2308
25	125	2281
26	129	2264
27	133	2249
28	137	2238
29	141	2220
30	145	2200
31	149	2182
32	153	2169
33	157	2154
34	160	2134
35	164	2125
36	169	2118
37	173	2107
38	177	2101
39	181	2089
40	186	2088
41	190	2082
42	195	2078
43	199	2071
44	204	2064
45	208	2059
46	213	2053
47	217	2045
48	221	2041
49	225	2032
50	230	2024
51	234	2018
52	238	2014
53	243	2007
54	247	1999
55	251	1990
56	255	1983
57	259	1976
58	263	1972
59	268	1971
60	273	1968
61	278	1970
62	284	1975
63	289	1973
64	295	1976
65	300	1977
66	305	1976
67	310	1971
68	314	1967
69	319	1964
70	324	1960
71	329	1956
72	333	1949
73	337	1941
74	340	1931
75	344	1923
76	348	1913
77	352	1906
78	356	1898
79	360	1891
80	364	1884
81	368	1876
82	372	1869
83	376	1862
84	379	1853
85	384	1850
86	388	1844
87	392	1837
88	396	1832
89	400	1826
90	405	1820
91	408	1812
92	413	1807
93	416	1800
94	420	1793
95	425	1788
96	428	1782
97	433	1777
98	437	1770
99	441	1764
100	445	1759
101	449	1752
102	453	1746
103	457	1741
104	461	1737
105	465	1729
106	469	1722
107	473	1718
108	477	1712
109	481	1707
110	485	1702
111	489	1695
112	493	1689
113	497	1683
114	501	1677
115	504	1671
116	508	1665
117	512	1658
118	516	1654
119	521	1650
120	524	1643
121	529	1639
122	532	1632
123	536	1625
124	540	1621
125	544	1616
126	548	1611
127	552	1605
128	556	1599
129	560	1596
130	564	1591
131	569	1587
132	574	1584
133	578	1580
134	582	1576
135	587	1571
136	591	1567
137	595	1562
138	599	1557
139	603	1553
140	608	1549
141	613	1546
142	618	1543
143	623	1541
144	628	1538
145	633	1534
146	638	1533
147	644	1532
148	649	1529
149	654	1526
150	658	1520
151	663	1518
152	668	1516
153	673	1513
154	678	1510
155	683	1506
156	687	1502
157	692	1498
158	696	1494
159	702	1492
160	707	1488
161	711	1484
162	715	1479
163	719	1474
164	723	1469
165	728	1464
166	732	1459
167	736	1455
168	740	1450
169	744	1445
170	748	1439
171	752	1434
172	756	1430
173	760	1425
174	764	1420
175	768	1415
176	772	1409
177	776	1405
178	781	1401
179	785	1396
180	789	1391
181	794	1388
182	798	1383
183	804	1380
184	808	1376
185	812	1370
186	816	1365
187	819	1360
188	823	1355
189	827	1350
190	831	1345
191	835	1339
192	838	1334
193	842	1328
194	847	1324
195	851	1320
196	855	1315
197	858	1309
198	862	1304
199	867	1300
200	871	1296
201	875	1291
202	879	1286
203	883	1281
204	887	1276
205	891	1272
206	896	1268
207	900	1264
208	904	1259
209	908	1254
210	912	1250
211	917	1246
212	921	1241
213	925	1237
214	930	1233
215	934	1229
216	939	1224
217	943	1220
218	947	1215
219	950	1210
220	955	1205
221	959	1201
222	963	1196
223	967	1192
224	972	1188
225	976	1184
226	980	1179
227	985	1175
228	989	1170
229	993	1165
230	997	1161
231	1001	1156
232	1008	1155
233	1014	1153
234	1020	1151
235	1026	1148
236	1031	1144
237	1037	1141
238	1041	1137
239	1045	1133
240	1049	1128
241	1053	1123
242	1057	1118
243	1061	1113
244	1065	1108
245	1068	1103
246	1073	1099
247	1076	1094
248	1080	1089
249	1084	1084
250	1088	1079
251	1091	1074
252	1095	1069
253	1099	1065
254	1104	1061
255	1108	1056
256	1112	1052
257	1116	1047
258	1120	1043
259	1124	1038
260	1129	1033
261	1133	1029
262	1137	1025
263	1142	1021
264	1146	1016
265	1150	1012
266	1155	1008
267	1160	1004
268	1165	1000
269	1169	996
270	1174	992
271	1178	987
272	1183	983
273	1187	979
274	1192	975
275	1196	971
276	1201	967
277	1205	962
278	1209	958
279	1213	953
280	1217	949
281	1221	944
282	1225	939
283	1230	935
284	1233	930
285	1237	926
286	1242	921
287	1246	917
288	1251	913
289	1255	909
290	1259	904
291	1264	900
292	1268	895
293	1272	891
294	1277	887
295	1281	883
296	1285	878
297	1289	873
298	1293	869
299	1297	864
300	1301	860
301	1305	855
302	1309	851
303	1313	846
304	1317	842
305	1321	838
306	1326	833
307	1329	828
308	1334	824
309	1338	820
310	1342	816
311	1346	811
312	1350	807
313	1354	802
314	1359	798
315	1363	794
316	1367	789
317	1372	785
318	1376	780
319	1380	776
320	1384	771
321	1388	767
322	1392	762
323	1396	758
324	1401	754
325	1405	750
326	1409	745
327	1413	741
328	1417	736
329	1421	732
330	1425	727
331	1429	723
332	1434	719
333	1438	715
334	1443	710
335	1447	706
336	1451	702
337	1455	697
338	1460	693
339	1464	689
340	1469	685
341	1474	681
342	1478	676
343	1483	672
344	1487	668
345	1491	664
346	1497	660
347	1501	655
348	1506	651
349	1510	647
350	1515	643
351	1520	639
352	1524	634
353	1528	630
354	1531	625
355	1535	621
356	1539	616
357	1544	612
358	1547	607
359	1552	603
360	1556	599
361	1560	594
362	1564	590
363	1568	586
364	1571	581
365	1576	577
366	1579	572
367	1583	568
368	1587	563
369	1591	559
370	1596	554
371	1600	550
372	1604	546
373	1608	541
374	1612	537
375	1616	533
376	1620	528
377	1624	524
378	1628	519
379	1632	515
380	1636	511
381	1640	506
382	1644	502
383	1649	498
384	1653	493
385	1658	489
386	1662	485
387	1666	481
388	1670	476
389	1675	472
390	1678	468
391	1682	463
392	1686	459
393	1691	455
394	1695	450
395	1699	446
396	1704	442
397	1708	437
398	1712	433
399	1716	429
400	1720	424
401	1724	420
402	1728	416
403	1732	411
404	1736	407
405	1741	403
406	1745	398
407	1749	394
408	1753	390
409	1758	385
410	1762	381
411	1766	377
412	1770	373
413	1775	368
414	1779	364
415	1783	360
416	1788	355
417	1792	351
418	1797	347
419	1802	343
420	1807	339
421	1811	334
422	1815	330
423	1820	326
424	1824	321
425	1828	317
426	1832	313
427	1836	308
428	1841	304
429	1845	300
430	1849	296
431	1853	291
432	1857	287
433	1861	283
434	1865	278
435	1869	274
436	1873	270
437	1877	265
438	1880	261
