iter	Passed	Remaining
0	20	20552
1	37	18739
2	53	17782
3	70	17555
4	88	17633
5	104	17297
6	121	17165
7	137	17023
8	153	16876
9	169	16772
10	187	16823
11	203	16726
12	219	16651
13	236	16633
14	242	15909
15	258	15889
16	274	15897
17	291	15894
18	308	15904
19	323	15858
20	340	15863
21	356	15836
22	372	15806
23	389	15842
24	406	15856
25	423	15859
26	439	15832
27	454	15794
28	470	15767
29	487	15768
30	503	15752
31	519	15728
32	535	15702
33	551	15679
34	567	15658
35	583	15632
36	600	15616
37	617	15636
38	634	15631
39	650	15616
40	667	15615
41	684	15604
42	700	15584
43	717	15591
44	734	15577
45	751	15581
46	768	15581
47	786	15595
48	803	15595
49	820	15591
50	838	15600
51	844	15391
52	861	15401
53	866	15176
54	883	15172
55	899	15158
56	916	15157
57	933	15154
58	949	15147
59	966	15137
60	982	15117
61	998	15107
62	1015	15100
63	1031	15090
64	1048	15081
65	1065	15072
66	1082	15078
67	1099	15070
68	1115	15053
69	1131	15038
70	1148	15029
71	1164	15012
72	1181	15003
73	1197	14989
74	1214	14980
75	1230	14965
76	1247	14955
77	1264	14947
78	1281	14934
79	1297	14917
80	1313	14904
81	1330	14890
82	1346	14873
83	1362	14859
84	1378	14844
85	1395	14836
86	1413	14838
87	1431	14836
88	1448	14826
89	1464	14808
90	1481	14796
91	1497	14778
92	1514	14765
93	1530	14752
94	1546	14732
95	1563	14720
96	1579	14706
97	1597	14701
98	1613	14683
99	1631	14679
100	1647	14665
101	1663	14649
102	1681	14643
103	1698	14630
104	1715	14621
105	1732	14614
106	1749	14600
107	1766	14586
108	1782	14568
109	1799	14556
110	1817	14556
111	1834	14542
112	1851	14537
113	1868	14520
114	1884	14503
115	1901	14488
116	1917	14474
117	1934	14459
118	1951	14447
119	1968	14433
120	1984	14413
121	2000	14397
122	2016	14378
123	2033	14364
124	2049	14349
125	2065	14330
126	2083	14321
127	2100	14308
128	2117	14293
129	2133	14276
130	2150	14264
131	2166	14246
132	2183	14231
133	2199	14217
134	2216	14200
135	2232	14183
136	2249	14169
137	2266	14160
138	2283	14145
139	2301	14139
140	2318	14126
141	2336	14115
142	2352	14101
143	2370	14090
144	2387	14075
145	2404	14062
146	2421	14051
147	2438	14037
148	2455	14025
149	2472	14012
150	2490	14005
151	2508	13993
152	2525	13979
153	2542	13966
154	2557	13943
155	2575	13935
156	2592	13922
157	2610	13912
158	2627	13900
159	2645	13886
160	2662	13873
161	2680	13863
162	2698	13855
163	2715	13843
164	2733	13830
165	2751	13821
166	2768	13808
167	2785	13795
168	2802	13779
169	2819	13767
170	2837	13754
171	2854	13741
172	2873	13734
173	2890	13721
174	2907	13708
175	2926	13699
176	2943	13684
177	2960	13670
178	2978	13659
179	2996	13649
180	3013	13633
181	3030	13618
182	3047	13603
183	3065	13592
184	3082	13577
185	3099	13564
186	3112	13531
187	3125	13500
188	3142	13486
189	3160	13473
190	3178	13460
191	3195	13447
192	3213	13434
